"","rang","women","number","male","number","year"
"1","1","Sophie",49,"Maximilian",26,"2010"
"2","2","Marie",34,"Alexander",20,"2010"
"3","3","Mia",19,"Luca",18,"2010"
"4","4","Sophia",18,"Noah",16,"2010"
"5","5","Leonie",15,"Ben",14,"2010"
"6","6","Emily",12,"Jan",13,"2010"
"7","7","Lena",12,"Joel",13,"2010"
"8","8","Anna",11,"Leon",13,"2010"
"9","9","Celine",11,"Gabriel",11,"2010"
"10","10","Emilia",11,"David",10,"2010"
"11","11","Lea",11,"Elias",10,"2010"
"12","12","Maria",11,"Finn",10,"2010"
"13","13","Emma",10,"Paul",10,"2010"
"14","14","Hannah",10,"Jason",9,"2010"
"15","15","Melina",10,"Jonas",9,"2010"
"16","16","Johanna",9,"Lukas",9,"2010"
"17","17","Luise",9,"Dean",8,"2010"
"18","18","Sarah",9,"Julian",8,"2010"
"19","19","Alina",8,"Justus",8,"2010"
"20","20","Elisabeth",8,"Niklas",8,"2010"
"21","21","Maja",8,"Noel",8,"2010"
"22","22","Nele",8,"Tim",8,"2010"
"23","23","Pia",8,"Christian",7,"2010"
"24","24","Julia",7,"Felix",7,"2010"
"25","25","Laura",7,"Julius",7,"2010"
"26","26","Marlene",7,"Max",7,"2010"
"27","27","Maya",7,"Philip",7,"2010"
"28","28","Antonia",6,"Adam",6,"2010"
"29","29","Charlotte",6,"Eren",6,"2010"
"30","30","Elif",6,"Fynn",6,"2010"
"31","31","Ida",6,"Jakob",6,"2010"
"32","1","Sophie",45,"Maximilian",21,"2011"
"33","2","Marie",38,"Alexander",17,"2011"
"34","3","Maria",19,"Ben",17,"2011"
"35","4","Mia",16,"Jan",14,"2011"
"36","5","Emilia",13,"Leon",14,"2011"
"37","6","Charlotte",12,"Louis",14,"2011"
"38","7","Emily",12,"Felix",13,"2011"
"39","8","Lina",12,"Julian",13,"2011"
"40","9","Lena",11,"Luca",13,"2011"
"41","10","Leonie",10,"David",12,"2011"
"42","11","Johanna",9,"Joel",12,"2011"
"43","12","Hanna",8,"Jonas",12,"2011"
"44","13","Lea",8,"Muhammed",12,"2011"
"45","14","Milena",8,"Lukas",11,"2011"
"46","15","Pia",8,"Noah",11,"2011"
"47","16","Amelie",7,"Paul",10,"2011"
"48","17","Anna",7,"Samuel",10,"2011"
"49","18","Jana",7,"Elias",9,"2011"
"50","19","Lara",7,"Henry",9,"2011"
"51","20","Chiara",6,"Tim",9,"2011"
"52","21","Isabella",6,"Daniel",8,"2011"
"53","22","Maja",6,"Jakob",8,"2011"
"54","23","Marleen",6,"Max",8,"2011"
"55","24","Marlene",6,"Michael",8,"2011"
"56","25","Medina",6,"Niklas",8,"2011"
"57","26","Melina",6,"Emil",7,"2011"
"58","27","Alexandra",5,"Jonathan",7,"2011"
"59","28","Amy",5,"Lennox",7,"2011"
"60","29","Diana",5,"Linus",7,"2011"
"61","30","Elisa",5,"Philipp",7,"2011"
"62",NA,NA,NA,NA,NA,"2011"
"63","1","Marie",35,"Alexander",21,"2012"
"64","2","Sophie",32,"Luca",21,"2012"
"65","3","Emma",14,"Jan",14,"2012"
"66","4","Emily",13,"Noah",14,"2012"
"67","5","Lena",12,"Ben",13,"2012"
"68","6","Anna",11,"Julian",12,"2012"
"69","7","Johanna",11,"Leon",12,"2012"
"70","8","Lina",11,"Max",11,"2012"
"71","9","Maria",11,"Mika",11,"2012"
"72","10","Mia",11,"David",10,"2012"
"73","11","Elif",10,"Joel",10,"2012"
"74","12","Hannah",10,"Jonas",10,"2012"
"75","13","Leonie",10,"Tom",10,"2012"
"76","14","Lilly",10,"Ali",9,"2012"
"77","15","Ida",9,"Elias",9,"2012"
"78","16","Luisa",9,"Felix",9,"2012"
"79","17","Lea",8,"Maximilian",9,"2012"
"80","18","Marlene",8,"Niklas",9,"2012"
"81","19","Nur",8,"Paul",9,"2012"
"82","20","Emilia",7,"Anton",8,"2012"
"83","21","Viktoria",7,"Jakob",8,"2012"
"84","22","Alina",6,"Liam",8,"2012"
"85","23","Amina",6,"Lukas",8,"2012"
"86","24","Ela",6,"Yusuf",8,"2012"
"87","25","Fiona",6,"Emil",7,"2012"
"88","26","Julia",6,"Emir",7,"2012"
"89","27","Leni",6,"Finn",7,"2012"
"90","28","Maja",6,"Fynn",7,"2012"
"91","29","Paula",6,"Jason",7,"2012"
"92","30","Paulina",6,"Luis",7,"2012"
"93",NA,NA,NA,NA,NA,"2012"
"94","1","Sophie",35,"Alexander",22,"2013"
"95","2","Marie",30,"Luca",21,"2013"
"96","3","Emilia",21,"Paul",19,"2013"
"97","4","Lena",17,"Maximilian",18,"2013"
"98","5","Mia",16,"Felix",17,"2013"
"99","6","Emily",13,"Ben",16,"2013"
"100","7","Emma",13,"Leon",16,"2013"
"101","8","Luisa",13,"Jonas",14,"2013"
"102","9","Maria",13,"Moritz",12,"2013"
"103","10","Sophia",12,"David",11,"2013"
"104","11","Anna",11,"Elias",11,"2013"
"105","12","Lina",11,"Florian",11,"2013"
"106","13","Katharina",10,"Mats",11,"2013"
"107","14","Mira",10,"Noah",11,"2013"
"108","15","Pia",10,"Daniel",10,"2013"
"109","16","Charlotte",9,"Louis",10,"2013"
"110","17","Lea",9,"Muhammed",10,"2013"
"111","18","Mila",9,"Benjamin",9,"2013"
"112","19","Victoria",9,"Lukas",9,"2013"
"113","20","Elisabeth",7,"Max",9,"2013"
"114","21","Hanna",7,"Philipp",9,"2013"
"115","22","Hannah",7,"Erik",8,"2013"
"116","23","Johanna",7,"Finn",8,"2013"
"117","24","Lisa",7,"Jakob",8,"2013"
"118","25","Sarah",7,"Noel",8,"2013"
"119","26","Amelie",6,"Ali",7,"2013"
"120","27","Greta",6,"Fynn",7,"2013"
"121","28","Lara",6,"Henry",7,"2013"
"122","29","Laura",6,"Julian",7,"2013"
"123","30","Marleen",6,"Anton",6,"2013"
"124",NA,NA,NA,NA,NA,"2013"
"125","1","Sophie",35,"Alexander",26,"2014"
"126","2","Marie",28,"Luca",26,"2014"
"127","3","Emilia",21,"Leon",20,"2014"
"128","4","Lena",18,"Maximilian",15,"2014"
"129","5","Mia",18,"Elias",14,"2014"
"130","6","Anna",14,"Julian",14,"2014"
"131","7","Emma",14,"Paul",14,"2014"
"132","8","Charlotte",12,"Jan",13,"2014"
"133","9","Sophia",12,"Ben",11,"2014"
"134","10","Maria",11,"David",10,"2014"
"135","11","Sofia",11,"Finn",10,"2014"
"136","12","Luisa",10,"Moritz",10,"2014"
"137","13","Emily",9,"Jakob",9,"2014"
"138","14","Helena",9,"Mats",9,"2014"
"139","15","Elisa",8,"Noah",9,"2014"
"140","16","Ida",8,"Tom",9,"2014"
"141","17","Lina",8,"Emir",8,"2014"
"142","18","Melina",8,"Malik",8,"2014"
"143","19","Elif",7,"Oskar",8,"2014"
"144","20","Frieda",7,"Phil",8,"2014"
"145","21","Jana",7,"Emil",7,"2014"
"146","22","Johanna",7,"Felix",7,"2014"
"147","23","Katharina",7,"Joel",7,"2014"
"148","24","Lea",7,"Jonas",7,"2014"
"149","25","Lia",7,"Jonathan",7,"2014"
"150","26","Marlene",7,"Marlon",7,"2014"
"151","27","Mila",7,"Anton",6,"2014"
"152","28","Mira",7,"Daniel",6,"2014"
"153","29","Nele",7,"Henry",6,"2014"
"154","30","Greta",6,"Lucas",6,"2014"
"155",NA,NA,NA,NA,NA,"2014"
"156","1","Marie",36,"Noah",23,"2015"
"157","2","Sophie",32,"Paul",20,"2015"
"158","3","Sophia",19,"Ben",17,"2015"
"159","4","Emilia",17,"Leon",15,"2015"
"160","5","Johanna",17,"Elias",14,"2015"
"161","6","Elisabeth",16,"Jonas",14,"2015"
"162","7","Emma",16,"Alexander",13,"2015"
"163","8","Leonie",13,"Luca",12,"2015"
"164","9","Mia",13,"Maximilian",12,"2015"
"165","10","Mila",13,"Tom",12,"2015"
"166","11","Charlotte",12,"Luis",10,"2015"
"167","12","Emily",12,"Luke",10,"2015"
"168","13","Lina",12,"Michael",10,"2015"
"169","14","Anna",11,"Moritz",10,"2015"
"170","15","Luisa",11,"Ali",9,"2015"
"171","16","Maria",10,"Benjamin",9,"2015"
"172","17","Lia",9,"Fynn",9,"2015"
"173","18","Sofia",9,"Henry",9,"2015"
"174","19","Amelie",8,"Jan",9,"2015"
"175","20","Lara",8,"Louis",9,"2015"
"176","21","Lea",8,"Felix",8,"2015"
"177","22","Clara",7,"Julian",8,"2015"
"178","23","Josephine",7,"Leo",8,"2015"
"179","24","Laura",7,"Nico",8,"2015"
"180","25","Lena",7,"Samuel",8,"2015"
"181","26","Luise",7,"Anton",7,"2015"
"182","27","Lynn",7,"David",7,"2015"
"183","28","Marlene",7,"Gabriel",7,"2015"
"184","29","Nele",7,"Joel",7,"2015"
"185","30","Amy",6,"Lukas",7,"2015"
"186",NA,NA,NA,NA,NA,"2015"
"187","1","Marie",33,"Alexander",29,"2016"
"188","2","Sophie",29,"Elias",19,"2016"
"189","3","Maria",22,"Leon",18,"2016"
"190","4","Mia",19,"Felix",16,"2016"
"191","5","Johanna",17,"Lukas",16,"2016"
"192","6","Anna",16,"Maximilian",16,"2016"
"193","7","Emilia",16,"Ben",15,"2016"
"194","8","Emma",14,"Liam",15,"2016"
"195","9","Charlotte",12,"Ali",12,"2016"
"196","10","Mira",11,"David",12,"2016"
"197","11","Mila",10,"Erik",12,"2016"
"198","12","Hanna",9,"Jonas",12,"2016"
"199","13","Jule",9,"Noah",12,"2016"
"200","14","Lea",9,"Paul",12,"2016"
"201","15","Paula",9,"Milan",11,"2016"
"202","16","Emily",8,"Fynn",10,"2016"
"203","17","Lilly",8,"Jan",10,"2016"
"204","18","Luise",8,"Luca",10,"2016"
"205","19","Melina",8,"Moritz",10,"2016"
"206","20","Alessia",7,"Theo",10,"2016"
"207","21","Elena",7,"Adam",9,"2016"
"208","22","Elif",7,"Hamza",9,"2016"
"209","23","Elina",7,"Samuel",9,"2016"
"210","24","Elisabeth",7,"Tom",9,"2016"
"211","25","Helena",7,"Anton",8,"2016"
"212","26","Julia",7,"Daniel",8,"2016"
"213","27","Laura",7,"Karl",8,"2016"
"214","28","Lena",7,"Luis",8,"2016"
"215","29","Sophia",7,"Adrian",7,"2016"
"216","30","Hannah",6,"Finn",7,"2016"
"217",NA,NA,NA,NA,NA,"2016"
"218","1","Emilia",26,"Leon",16,"2017"
"219","2","Mia",19,"Maximilian",15,"2017"
"220","3","Marie",16,"Adam",14,"2017"
"221","4","Mira",14,"Milan",14,"2017"
"222","5","Sophia",13,"Elias",13,"2017"
"223","6","Sophie",13,"Felix",13,"2017"
"224","7","Hannah",11,"Finn",13,"2017"
"225","8","Mila",10,"Paul",13,"2017"
"226","9","Charlotte",9,"Max",11,"2017"
"227","10","Emily",9,"Samuel",11,"2017"
"228","11","Leonie",9,"Jonas",10,"2017"
"229","12","Lina",9,"Leo",10,"2017"
"230","13","Ida",8,"Lukas",10,"2017"
"231","14","Laura",8,"Moritz",10,"2017"
"232","15","Lea",8,"Ben",9,"2017"
"233","16","Lena",8,"David",9,"2017"
"234","17","Leni",8,"Henry",9,"2017"
"235","18","Antonia",7,"Louis",9,"2017"
"236","19","Clara",7,"Noah",9,"2017"
"237","20","Ella",7,"Theo",9,"2017"
"238","21","Johanna",7,"Anton",8,"2017"
"239","22","Luisa",7,"Luis",8,"2017"
"240","23","Marlene",7,"Oskar",8,"2017"
"241","24","Elisa",6,"Tom",8,"2017"
"242","25","Lara",6,"Henri",7,"2017"
"243","26","Maja",6,"Luca",7,"2017"
"244","27","Sara",6,"Mats",7,"2017"
"245","28","Amira",5,"Mohammad",7,"2017"
"246","29","Anna",5,"Nick",7,"2017"
"247","30","Elina",5,"Rayan",7,"2017"
"248",NA,NA,NA,NA,NA,"2017"
